Education,Marital_Status,Income,Child_Status,Total_Spend_2_Years,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,Income_Group,Web_Frequency
Bachelor,No Partner,58138.0,No Child,1617,8,10,4,Middle,High
Bachelor,No Partner,46344.0,1 or More,27,1,1,2,Middle,Low
Bachelor,With Partner,71613.0,No Child,776,8,2,10,Upper Middle,High
Bachelor,With Partner,26646.0,1 or More,53,2,0,4,Low,Low
PhD,With Partner,58293.0,1 or More,422,5,3,6,Middle,Normal
Master,With Partner,62513.0,1 or More,716,6,4,10,Middle,Normal
Bachelor,No Partner,55635.0,1 or More,590,7,3,7,Middle,High
PhD,With Partner,33454.0,1 or More,169,4,0,4,Middle,Normal
PhD,With Partner,30351.0,1 or More,46,3,0,2,Middle,Low
PhD,With Partner,5648.0,1 or More,49,1,0,0,Low,Low
Bachelor,With Partner,7500.0,No Child,61,2,0,3,Low,Low
Bachelor,No Partner,63033.0,No Child,1102,3,4,8,Middle,Low
Master,No Partner,59354.0,1 or More,310,6,1,5,Middle,Normal
Bachelor,With Partner,17323.0,No Child,46,1,0,3,Low,Low
PhD,No Partner,82800.0,No Child,1315,7,6,12,Upper Middle,High
Bachelor,With Partner,41850.0,1 or More,96,3,0,3,Middle,Low
Bachelor,With Partner,37760.0,No Child,317,4,1,6,Middle,Normal
Master,With Partner,76995.0,1 or More,1782,11,4,9,Upper Middle,High
Master,No Partner,33812.0,1 or More,133,2,1,3,Middle,Low
Bachelor,With Partner,37040.0,No Child,316,4,2,5,Middle,Normal
Bachelor,With Partner,2447.0,1 or More,1730,0,28,0,Low,
PhD,With Partner,58607.0,1 or More,972,2,3,9,Middle,Low
PhD,With Partner,65324.0,1 or More,544,6,2,9,Upper Middle,Normal
Bachelor,With Partner,40689.0,1 or More,444,7,1,5,Middle,High
Bachelor,No Partner,18589.0,No Child,75,2,1,3,Low,Low
Bachelor,With Partner,53359.0,1 or More,257,5,1,4,Middle,Normal
Bachelor,With Partner,38360.0,1 or More,131,2,1,4,Middle,Low
PhD,With Partner,84618.0,No Child,1672,6,9,10,Upper Middle,Normal
Master,No Partner,10979.0,No Child,30,3,0,3,Low,Low
Master,With Partner,38620.0,No Child,318,2,5,3,Middle,Low
Bachelor,With Partner,40548.0,1 or More,120,2,1,4,Middle,Low
PhD,No Partner,46610.0,1 or More,302,4,1,6,Middle,Normal
Master,With Partner,68657.0,No Child,1196,3,5,9,Upper Middle,Low
Master,No Partner,49389.0,1 or More,65,2,0,3,Middle,Low
PhD,With Partner,67353.0,1 or More,913,5,6,12,Upper Middle,Normal
Master,With Partner,23718.0,1 or More,81,3,1,2,Low,Low
Bachelor,No Partner,42429.0,1 or More,67,1,1,3,Middle,Low
PhD,No Partner,48948.0,No Child,902,7,10,5,Middle,High
Bachelor,With Partner,80011.0,1 or More,1395,8,6,5,Upper Middle,High
Master,With Partner,20559.0,1 or More,53,2,0,3,Low,Low
Bachelor,With Partner,21994.0,1 or More,22,0,0,3,Low,
Master,With Partner,7500.0,1 or More,31,2,0,3,Low,Low
Bachelor,No Partner,79941.0,No Child,984,2,4,9,Upper Middle,Low
Master,With Partner,7500.0,No Child,122,3,1,3,Low,Low
Bachelor,With Partner,41728.0,1 or More,55,2,0,2,Middle,Low
PhD,With Partner,72550.0,1 or More,1319,5,2,12,Upper Middle,Normal
Bachelor,No Partner,65486.0,1 or More,507,4,2,10,Upper Middle,Normal
Master,With Partner,79143.0,No Child,1693,6,9,13,Upper Middle,Normal
Bachelor,No Partner,35790.0,1 or More,72,2,0,3,Middle,Low
Bachelor,No Partner,82582.0,No Child,1617,4,9,7,Upper Middle,Normal
Bachelor,With Partner,66373.0,1 or More,606,4,2,10,Upper Middle,Normal
Master,With Partner,82384.0,No Child,1957,3,10,13,Upper Middle,Low
Bachelor,No Partner,70287.0,No Child,1093,5,5,10,Upper Middle,Normal
Bachelor,No Partner,27938.0,1 or More,29,1,0,4,Low,Low
PhD,With Partner,55954.0,1 or More,518,8,2,6,Middle,High
Master,No Partner,75777.0,No Child,1438,3,6,11,Upper Middle,Low
Bachelor,With Partner,66653.0,1 or More,612,4,2,12,Upper Middle,Normal
Bachelor,No Partner,61823.0,1 or More,884,8,2,10,Middle,High
PhD,No Partner,67680.0,1 or More,606,7,3,8,Upper Middle,High
Bachelor,With Partner,70666.0,No Child,1076,7,4,4,Upper Middle,High
Bachelor,With Partner,25721.0,1 or More,34,1,1,2,Low,Low
Bachelor,With Partner,32474.0,1 or More,11,1,0,2,Middle,Low
Master,No Partner,88194.0,1 or More,1274,11,10,10,Upper Middle,High
Bachelor,With Partner,69096.0,1 or More,653,5,2,10,Upper Middle,Normal
Bachelor,With Partner,74854.0,1 or More,1562,2,5,5,Upper Middle,Low
Master,With Partner,66991.0,No Child,1253,4,8,6,Upper Middle,Normal
Bachelor,With Partner,65031.0,1 or More,863,10,3,13,Upper Middle,High
PhD,With Partner,60631.0,1 or More,661,9,2,8,Middle,High
Bachelor,With Partner,28332.0,No Child,65,2,1,4,Low,Low
Bachelor,No Partner,40246.0,1 or More,13,1,0,2,Middle,Low
Master,With Partner,75251.0,No Child,1890,7,6,5,Upper Middle,High
Bachelor,No Partner,75825.0,No Child,2209,5,8,9,Upper Middle,Normal
Master,With Partner,26326.0,No Child,18,0,0,3,Low,
Bachelor,With Partner,56046.0,No Child,692,10,1,8,Middle,High
Bachelor,No Partner,29760.0,1 or More,165,3,1,4,Low,Low
Bachelor,With Partner,26304.0,1 or More,16,1,0,2,Low,Low
Master,With Partner,23559.0,1 or More,79,3,0,3,Low,Low
Master,With Partner,38620.0,No Child,318,2,5,3,Middle,Low
Bachelor,No Partner,81361.0,No Child,778,3,10,13,Upper Middle,Low
Bachelor,With Partner,29440.0,1 or More,56,1,0,4,Low,Low
Master,With Partner,36138.0,1 or More,151,3,1,4,Middle,Low
Bachelor,No Partner,50388.0,1 or More,372,6,1,6,Middle,Normal
Bachelor,With Partner,79593.0,No Child,1366,5,6,7,Upper Middle,Normal
Bachelor,With Partner,54178.0,1 or More,194,2,2,5,Middle,Low
Master,No Partner,42394.0,1 or More,32,1,0,3,Middle,Low
PhD,With Partner,23626.0,1 or More,43,3,1,3,Low,Low
Bachelor,With Partner,30096.0,1 or More,45,2,0,3,Middle,Low
Bachelor,No Partner,47916.0,1 or More,606,7,4,6,Middle,High
Bachelor,No Partner,51813.0,1 or More,63,2,0,3,Middle,Low
Master,With Partner,78497.0,No Child,978,5,7,12,Upper Middle,Normal
PhD,With Partner,50150.0,No Child,410,5,2,7,Middle,Normal
Master,No Partner,47823.0,1 or More,72,2,0,3,Middle,Low
PhD,No Partner,34554.0,1 or More,55,2,0,3,Middle,Low
Bachelor,With Partner,85693.0,1 or More,1169,9,5,11,Upper Middle,High
PhD,With Partner,65846.0,No Child,1120,6,3,6,Upper Middle,Normal
Bachelor,With Partner,87195.0,No Child,1097,3,11,5,Upper Middle,Low
Bachelor,With Partner,24594.0,1 or More,29,1,0,3,Low,Low
Bachelor,With Partner,49096.0,1 or More,187,4,1,4,Middle,Normal
Bachelor,With Partner,52413.0,1 or More,910,6,4,12,Middle,Normal
Bachelor,No Partner,38557.0,1 or More,145,3,1,3,Middle,Low
Master,With Partner,89058.0,No Child,850,5,4,4,Upper Middle,Normal
Bachelor,With Partner,77298.0,1 or More,969,6,6,11,Upper Middle,Normal
PhD,No Partner,68126.0,No Child,1820,7,4,5,Upper Middle,High
Master,With Partner,57288.0,1 or More,608,8,1,8,Middle,High
Bachelor,No Partner,86037.0,No Child,730,6,7,11,Upper Middle,Normal
PhD,With Partner,43974.0,1 or More,551,6,4,6,Middle,Normal
Bachelor,No Partner,50785.0,1 or More,114,2,1,3,Middle,Low
Bachelor,With Partner,90765.0,No Child,1724,4,6,5,Upper Middle,Normal
Master,With Partner,36550.0,1 or More,577,9,1,5,Middle,High
Master,With Partner,30753.0,1 or More,81,1,1,3,Middle,Low
Bachelor,With Partner,21918.0,1 or More,33,2,0,3,Low,Low
Master,With Partner,56129.0,1 or More,660,6,2,10,Middle,Normal
Master,No Partner,32557.0,1 or More,80,2,1,3,Middle,Low
Master,With Partner,19510.0,1 or More,30,1,0,3,Low,Low
Bachelor,No Partner,30992.0,1 or More,43,1,0,3,Middle,Low
Bachelor,No Partner,101970.0,No Child,1135,6,8,13,High,Normal
Master,With Partner,71488.0,No Child,559,3,4,7,Upper Middle,Low
Bachelor,No Partner,79607.0,No Child,1923,3,6,6,Upper Middle,Low
Master,With Partner,54348.0,1 or More,90,2,0,4,Middle,Low
PhD,With Partner,77376.0,1 or More,661,6,3,10,Upper Middle,Normal
Bachelor,With Partner,62998.0,1 or More,463,5,4,5,Middle,Normal
Master,No Partner,61331.0,1 or More,632,11,1,6,Middle,High
Bachelor,With Partner,73448.0,No Child,725,7,2,9,Upper Middle,High
PhD,With Partner,41551.0,1 or More,279,5,1,5,Middle,Normal
PhD,With Partner,62981.0,No Child,1482,4,5,13,Middle,Normal
Bachelor,No Partner,9548.0,1 or More,29,1,0,3,Low,Low
PhD,With Partner,33762.0,1 or More,106,2,2,2,Middle,Low
PhD,No Partner,35860.0,1 or More,49,1,1,2,Middle,Low
PhD,No Partner,36921.0,1 or More,38,2,0,3,Middle,Low
Master,No Partner,92859.0,No Child,2077,5,4,12,Upper Middle,Normal
Master,With Partner,65104.0,1 or More,1053,3,5,7,Upper Middle,Low
Bachelor,With Partner,86111.0,No Child,1385,5,7,10,Upper Middle,Normal
PhD,No Partner,68352.0,1 or More,871,8,5,9,Upper Middle,High
Bachelor,With Partner,41883.0,1 or More,312,4,2,3,Middle,Normal
Bachelor,With Partner,59809.0,1 or More,877,3,3,6,Middle,Low
Bachelor,With Partner,23957.0,1 or More,68,2,0,3,Low,Low
