ID,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,9/4/12,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1
2174,3/8/14,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0
4141,8/21/13,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0
6182,2/10/14,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0
5324,1/19/14,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0
7446,9/9/13,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0
965,11/13/12,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0
6177,5/8/13,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0
4855,6/6/13,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1
5899,3/13/14,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0
1994,11/15/13,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
387,11/13/12,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0
2125,11/15/13,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0
8180,11/15/13,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0
2569,10/10/12,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0
2114,11/24/12,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1
9736,12/24/12,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0
4939,8/31/12,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0
6565,3/28/13,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0
2278,11/3/12,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0
9360,8/8/12,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0
5376,1/6/13,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0
1993,12/23/12,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0
4047,1/11/14,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0
1409,3/18/13,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0
7892,1/2/13,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0
2404,5/27/13,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0
5255,2/20/13,19,5,1,3,3,263,362,0,27,0,0,1,0,0,0,0,0,0,3,11,0
9422,5/31/13,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0
1966,11/22/13,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0
6864,5/22/14,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,3,11,0
3033,5/11/13,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
5710,10/10/12,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,3,11,0
7373,10/29/12,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,3,11,1
8755,2/20/13,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,3,11,0
10738,8/29/13,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,3,11,0
4339,12/31/13,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,3,11,0
10755,9/2/13,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,3,11,0
8595,2/11/14,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,3,11,0
2968,2/1/13,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,3,11,1
8601,4/29/13,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,3,11,0
503,3/12/13,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,3,11,0
8430,12/24/12,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,3,11,0
7281,11/5/13,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,3,11,0
2139,10/2/13,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,3,11,0
1371,6/28/14,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,3,11,0
9909,11/9/12,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,3,11,1
7286,5/24/13,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,3,11,0
7244,1/1/14,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,3,11,0
6566,11/8/12,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,3,11,0
8614,5/12/14,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,3,11,0
4114,8/11/12,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,3,11,0
1331,1/2/13,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,3,11,0
2225,6/7/14,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,3,11,1
9381,6/12/13,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,3,11,0
6260,11/19/12,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1
10383,4/2/13,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,3,11,1
7437,4/28/14,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,3,11,0
8557,6/17/13,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,3,11,0
8375,3/3/14,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,3,11,0
6853,7/4/13,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1
3076,9/7/12,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,3,11,0
1012,2/18/13,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,3,11,0
6518,6/11/13,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,3,11,0
4137,12/6/13,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,3,11,0
8082,5/21/13,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,3,11,1
1386,5/11/14,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,3,11,0
9369,3/19/14,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1
4477,9/27/13,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0
1357,4/8/13,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0
1402,9/11/12,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0
10629,9/14/12,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0
6312,3/17/13,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0
8132,4/5/13,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0
1050,4/30/14,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0
5846,12/19/12,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0
1859,8/27/12,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1
7503,10/12/12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1
10401,9/4/13,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0
1618,1/2/13,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1
3332,8/29/12,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0
2261,6/23/13,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5346,7/3/13,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0
4119,5/11/13,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
535,2/25/14,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0
